LineId,Logrecord,Date,Pid,Level,Component,EventId,EventTemplate
12,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E34,image <*> at (<*>): checking
13,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E35,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage"
14,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E27,Active base files: <*>
15,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
16,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
17,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
18,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
19,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
20,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
21,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25743,INFO,nova.api.openstack.compute.server_external_events,E31,Creating event network-vif-plugged:<*>-<*>-<*>-<*>-<*> for instance <*>
22,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25743,INFO,nova.osapi_compute.wsgi.server,E26,"<*> ""POST <*>"" status: <*> len: <*> time: <*>.<*>"
23,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E21,[instance: <*>] VM Resumed (Lifecycle Event)
24,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.driver,E9,[instance: <*>] Instance spawned successfully.
25,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E15,[instance: <*>] Took <*>.<*> seconds to spawn the instance on the hypervisor.
26,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E7,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.
27,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E21,[instance: <*>] VM Resumed (Lifecycle Event)
28,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E34,image <*> at (<*>): checking
29,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E35,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage"
30,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E12,[instance: <*>] Took <*>.<*> seconds to build instance.
31,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E27,Active base files: <*>
32,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
33,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
34,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.resource_tracker,E28,Auditing locally available compute resources for node <*>
35,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.resource_tracker,E41,"Total usable vcpus: <*>, total allocated vcpus: <*>"
36,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.resource_tracker,E32,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=[]
37,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.resource_tracker,E30,Compute_service record updated for <*>
38,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E34,image <*> at (<*>): checking
39,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E35,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage"
40,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E27,Active base files: <*>
41,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25783,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
42,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25783,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
43,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25786,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
44,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25793,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
45,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E24,"<*> ""DELETE <*>"" status: <*> len: <*> time: <*>.<*>"
46,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25793,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
47,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E11,[instance: <*>] Terminating instance
48,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.driver,E8,[instance: <*>] Instance destroyed successfully.
49,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
50,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25784,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
51,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.driver,E4,[instance: <*>] Deleting instance files <*>
52,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.driver,E5,[instance: <*>] Deletion of <*> complete
53,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E14,[instance: <*>] Took <*>.<*> seconds to destroy the instance on the hypervisor.
54,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
55,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E13,[instance: <*>] Took <*>.<*> seconds to deallocate network for instance.
56,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
57,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,WARNING,nova.virt.libvirt.imagecache,E42,Unknown base file: <*>
58,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E36,Removable base files: <*>
59,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E37,Removing base or swap file: <*>
60,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.api.openstack.wsgi,E33,HTTP exception thrown: No instances found for any event
61,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E26,"<*> ""POST <*>"" status: <*> len: <*> time: <*>.<*>"
62,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E26,"<*> ""POST <*>"" status: <*> len: <*> time: <*>.<*>"
63,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
64,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E1,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU"
65,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E17,"[instance: <*>] Total memory: <*> MB, used: <*>.<*> MB"
66,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E10,"[instance: <*>] memory limit: <*>.<*> MB, free: <*>.<*> MB"
67,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E16,"[instance: <*>] Total disk: <*> GB, used: <*>.<*> GB"
68,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E6,"[instance: <*>] disk limit not specified, defaulting to unlimited"
69,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E18,"[instance: <*>] Total vcpu: <*> VCPU, used: <*>.<*> VCPU"
70,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E19,"[instance: <*>] vcpu limit not specified, defaulting to unlimited"
71,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E2,[instance: <*>] Claim successful
72,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
73,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
74,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.driver,E3,[instance: <*>] Creating image
75,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
76,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E23,[instance: <*>] VM Stopped (Lifecycle Event)
77,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
78,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
79,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
80,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
81,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
82,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
83,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
84,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
85,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
86,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
87,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
88,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
89,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
90,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
91,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
92,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E22,[instance: <*>] VM Started (Lifecycle Event)
93,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E20,[instance: <*>] VM Paused (Lifecycle Event)
94,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E7,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.
95,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
96,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E34,image <*> at (<*>): checking
97,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E35,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage"
98,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
99,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E27,Active base files: <*>
100,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
101,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
102,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
103,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
104,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
105,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
106,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E34,image <*> at (<*>): checking
107,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E35,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage"
108,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E27,Active base files: <*>
109,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
110,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
111,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25743,INFO,nova.api.openstack.compute.server_external_events,E31,Creating event network-vif-plugged:<*>-<*>-<*>-<*>-<*> for instance <*>
112,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25743,INFO,nova.osapi_compute.wsgi.server,E26,"<*> ""POST <*>"" status: <*> len: <*> time: <*>.<*>"
113,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E21,[instance: <*>] VM Resumed (Lifecycle Event)
114,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.driver,E9,[instance: <*>] Instance spawned successfully.
115,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E15,[instance: <*>] Took <*>.<*> seconds to spawn the instance on the hypervisor.
116,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E7,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.
117,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E21,[instance: <*>] VM Resumed (Lifecycle Event)
118,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E12,[instance: <*>] Took <*>.<*> seconds to build instance.
119,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
120,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
121,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E34,image <*> at (<*>): checking
122,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E35,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage"
123,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E27,Active base files: <*>
124,nova-scheduler.log.1.2017-05-16_13:53:08,2017-05-16,25998,INFO,nova.scheduler.host_manager,E39,Successfully synced instances from host '<*>'.
125,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25783,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
126,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25783,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
127,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25776,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
128,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25776,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
129,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25778,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
130,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25799,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
131,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25799,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
132,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25799,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
133,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25799,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
134,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25776,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
135,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25776,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
136,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E24,"<*> ""DELETE <*>"" status: <*> len: <*> time: <*>.<*>"
137,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E11,[instance: <*>] Terminating instance
138,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25795,INFO,nova.metadata.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
139,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
140,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E38,Running instance usage audit for host <*> from <*>-<*>-<*> <*>:<*>:<*> to <*>-<*>-<*> <*>:<*>:<*>. <*> instances.
141,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.driver,E8,[instance: <*>] Instance destroyed successfully.
142,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.driver,E4,[instance: <*>] Deleting instance files <*>
143,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.driver,E5,[instance: <*>] Deletion of <*> complete
144,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E14,[instance: <*>] Took <*>.<*> seconds to destroy the instance on the hypervisor.
145,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
146,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.manager,E13,[instance: <*>] Took <*>.<*> seconds to deallocate network for instance.
147,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,WARNING,nova.virt.libvirt.imagecache,E42,Unknown base file: <*>
148,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E36,Removable base files: <*>
149,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.virt.libvirt.imagecache,E37,Removing base or swap file: <*>
150,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
151,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.api.openstack.wsgi,E33,HTTP exception thrown: No instances found for any event
152,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E26,"<*> ""POST <*>"" status: <*> len: <*> time: <*>.<*>"
153,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E26,"<*> ""POST <*>"" status: <*> len: <*> time: <*>.<*>"
154,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,25746,INFO,nova.osapi_compute.wsgi.server,E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>.<*>"
155,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E1,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU"
156,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E17,"[instance: <*>] Total memory: <*> MB, used: <*>.<*> MB"
157,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E10,"[instance: <*>] memory limit: <*>.<*> MB, free: <*>.<*> MB"
158,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E16,"[instance: <*>] Total disk: <*> GB, used: <*>.<*> GB"
159,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E6,"[instance: <*>] disk limit not specified, defaulting to unlimited"
160,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E18,"[instance: <*>] Total vcpu: <*> VCPU, used: <*>.<*> VCPU"
161,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E19,"[instance: <*>] vcpu limit not specified, defaulting to unlimited"
162,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,2931,INFO,nova.compute.claims,E2,[instance: <*>] Claim successful
